week,primary_topic,article_count,sentiment_mean,sentiment_std,positive_ratio,negative_ratio,risk_score_mean,risk_score_max,risk_index_mean,high_risk_share,article_count_lag1,article_count_lag4,article_count_pct_change_1w,article_count_roll4_mean,risk_index_roll4_mean
2022-07-18,ai,3,-0.9246,0.0,0.0,1.0,0.0,0,0.2774,0.0,,,,3.0,0.2774
2022-07-25,ai,2,0.6115,0.0,1.0,0.0,0.0,0,0.1834,0.0,3.0,,-0.3333333333333333,2.5,0.2304
2022-09-19,ai,6,-0.6043999999999999,0.03560196623783585,0.0,1.0,0.0,0,0.18135,0.0,2.0,,2.0,3.6666666666666665,0.21405
2022-09-26,ai,3,-0.7845,0.0,0.0,1.0,0.0,0,0.23529999999999998,0.0,6.0,,-0.5,3.5,0.2193625
2022-10-03,ai,3,-0.7845,0.0,0.0,1.0,0.0,0,0.23529999999999998,0.0,3.0,3.0,0.0,3.5,0.2088375
2022-10-17,ai,3,-0.9152999999999999,0.0,0.0,1.0,0.0,0,0.2746,0.0,3.0,2.0,0.0,3.75,0.2316375
2022-10-24,ai,3,0.45879999999999993,0.0,1.0,0.0,0.0,0,0.1376,0.0,3.0,6.0,0.0,3.0,0.2207
2022-10-31,ai,3,0.8689,0.0,1.0,0.0,0.0,0,0.2607,0.0,3.0,3.0,0.0,3.0,0.22705
2022-11-07,ai,1,0.1027,0.0,1.0,0.0,0.0,0,0.0308,0.0,3.0,3.0,-0.6666666666666666,2.5,0.17592500000000003
2022-11-14,ai,2,0.8385,0.0,1.0,0.0,0.0,0,0.2516,0.0,1.0,3.0,1.0,2.25,0.170175
2022-11-28,ai,4,-0.107225,0.23815,0.25,0.75,0.0,0,0.069675,0.0,2.0,3.0,1.0,2.5,0.15319375
2022-12-05,ai,1,0.8156,0.0,1.0,0.0,0.0,0,0.2447,0.0,4.0,3.0,-0.75,2.0,0.14919375
2022-12-26,ai,3,0.7504,0.0,1.0,0.0,0.0,0,0.2251,0.0,1.0,1.0,2.0,2.5,0.19776875
2023-01-02,ai,2,-0.8519,0.0,0.0,1.0,0.0,0,0.2556,0.0,3.0,2.0,-0.3333333333333333,2.5,0.19876875
